"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.2.b.       Lixiviação / escorrimento superficial," 11,276 "," 11,462 "," 11,869 "," 12,036 "," 12,463 "," 12,671 "," 12,099 "," 12,576 "," 12,940 "," 13,102 "," 13,736 "," 14,252 "," 14,876 "," 16,570 "," 16,933 "," 16,980 "," 17,217 "," 17,911 "," 18,187 "," 18,450 "," 19,372 "," 20,031 "," 19,964 "," 20,778 "," 21,207 "," 21,291 "," 21,985 "
3.D.2.b.i.         Fertilizantes sintéticos, 854 , 857 , 949 ," 1,112 "," 1,290 "," 1,244 "," 1,312 "," 1,427 "," 1,595 "," 1,527 "," 1,828 "," 1,797 "," 1,990 "," 2,437 "," 2,460 "," 2,413 "," 2,518 "," 3,022 "," 2,743 "," 2,801 "," 3,129 "," 3,690 "," 3,801 "," 4,054 "," 4,244 "," 3,872 "," 4,786 "
3.D.2.b.ii.          Adubos orgânicos, 593 , 606 , 643 , 636 , 643 , 699 , 647 , 690 , 711 , 722 , 743 , 711 , 736 , 781 , 850 , 892 , 911 , 993 ," 1,093 "," 1,201 "," 1,197 "," 1,246 "," 1,161 "," 1,184 "," 1,265 "," 1,274 "," 1,282 "
3.D.2.b.iii.           Deposição de dejetos diretamente no solo," 6,441 "," 6,640 "," 6,732 "," 6,721 "," 6,814 "," 6,936 "," 6,469 "," 6,591 "," 6,692 "," 6,756 "," 6,965 "," 7,251 "," 7,584 "," 7,943 "," 8,266 "," 8,370 "," 8,342 "," 8,124 "," 8,237 "," 8,402 "," 8,641 "," 8,698 "," 8,615 "," 8,604 "," 8,653 "," 8,741 "," 8,825 "
3.D.2.b.iii.1.             Bovinos," 5,637 "," 5,826 "," 5,916 "," 5,941 "," 6,023 "," 6,136 "," 5,846 "," 5,961 "," 6,059 "," 6,113 "," 6,307 "," 6,591 "," 6,932 "," 7,287 "," 7,602 "," 7,695 "," 7,668 "," 7,473 "," 7,589 "," 7,761 "," 7,991 "," 8,044 "," 7,991 "," 7,978 "," 8,019 "," 8,089 "," 8,171 "
3.D.2.b.iii.2.             Suínos , 103 , 103 , 102 , 97 , 97 , 97 , 71 , 70 , 69 , 70 , 71 , 72 , 71 , 67 , 68 , 70 , 68 , 65 , 63 , 63 , 64 , 62 , 57 , 54 , 56 , 55 , 54 
3.D.2.b.iii.3.             Outros animais, 701 , 711 , 714 , 683 , 694 , 703 , 552 , 560 , 564 , 573 , 587 , 587 , 581 , 589 , 596 , 605 , 607 , 587 , 585 , 578 , 586 , 592 , 567 , 572 , 579 , 597 , 600 
3.D.2.b.iv.          Resíduos agrícolas," 3,185 "," 3,157 "," 3,343 "," 3,364 "," 3,512 "," 3,590 "," 3,468 "," 3,664 "," 3,739 "," 3,895 "," 3,998 "," 4,290 "," 4,363 "," 5,060 "," 5,007 "," 4,956 "," 5,097 "," 5,423 "," 5,766 "," 5,697 "," 6,056 "," 6,106 "," 6,095 "," 6,645 "," 6,753 "," 7,113 "," 6,801 "
3.D.2.b.iv.1.            Soja, 399 , 300 , 386 , 454 , 500 , 516 , 465 , 530 , 628 , 622 , 659 , 761 , 845 ," 1,042 ", 995 ," 1,027 "," 1,053 "," 1,161 "," 1,201 "," 1,151 "," 1,380 "," 1,502 "," 1,322 "," 1,641 "," 1,742 "," 1,957 "," 1,935 "
3.D.2.b.iv.2.            Milho, 301 , 333 , 430 , 424 , 458 , 511 , 418 , 465 , 417 , 455 , 456 , 592 , 507 , 681 , 589 , 495 , 602 , 735 , 831 , 715 , 781 , 785 ," 1,002 "," 1,132 "," 1,127 "," 1,203 ", 905 
