"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.2.b.iv.7.            Trigo, 24 , 23 , 22 , 17 , 17 , 12 , 26 , 20 , 18 , 19 , 14 , 27 , 25 , 49 , 46 , 37 , 20 , 33 , 48 , 40 , 49 , 45 , 35 , 45 , 49 , 44 , 54 
3.D.2.b.iv.8.            Pastagens," 1,519 "," 1,519 "," 1,519 "," 1,519 "," 1,519 "," 1,530 "," 1,564 "," 1,598 "," 1,632 "," 1,667 "," 1,701 "," 1,735 "," 1,769 "," 1,963 "," 1,969 "," 1,975 "," 1,971 "," 1,972 "," 1,973 "," 1,974 "," 1,974 "," 1,814 "," 1,814 "," 1,814 "," 1,814 "," 1,814 "," 1,814 "
3.D.2.b.iv.9.            Outras, 56 , 58 , 57 , 47 , 51 , 48 , 46 , 55 , 52 , 59 , 69 , 78 , 74 , 87 , 112 , 110 , 97 , 101 , 107 , 96 , 95 , 115 , 105 , 101 , 108 , 107 , 102 
3.D.2.b.v.         Mineralização de N associada a perda de C do solo, 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 263 , 263 , 263 , 263 , 263 , 263 , 263 , 263 , 220 , 220 , 220 , 220 , 220 , 220 
3.E.   Queima prescrita de savanas, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
3.F.   Queima de resíduos agrícolas, 811 , 802 , 823 , 734 , 868 , 898 , 882 , 879 , 903 , 859 , 794 , 848 , 903 , 998 ," 1,032 "," 1,034 "," 1,111 "," 1,216 "," 1,178 "," 1,031 ", 911 , 746 , 608 , 545 , 474 , 287 , 248 
3.G.   Calagem," 9,141 "," 8,673 "," 7,344 "," 9,371 "," 9,741 "," 5,845 "," 7,444 "," 8,132 "," 7,691 "," 7,295 "," 9,444 "," 8,617 "," 10,623 "," 12,614 "," 12,546 "," 8,097 "," 8,032 "," 10,563 "," 11,427 "," 9,094 "," 11,292 "," 13,992 "," 16,179 "," 15,955 "," 16,863 "," 14,606 "," 15,844 "
3.H.   Aplicação de Ureia, 631 , 655 , 674 , 950 , 988 , 920 ," 1,012 "," 1,131 "," 1,311 "," 1,320 "," 1,201 "," 1,291 "," 1,342 "," 1,808 "," 1,784 "," 1,878 "," 1,894 "," 2,260 "," 2,106 "," 2,094 "," 2,406 "," 2,835 "," 2,753 "," 3,159 "," 3,408 "," 2,932 "," 3,888 "
3.I.   Outros fertilizantes Contendo Carbono, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
3.J.   Outro, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
