Project ID,ARB ID,Project Developer,Project Name,Project VVB,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Project Notes,Total Number of Credits Registered ,Documents,Project Website,Unnamed: 16
ACR249,CAFR5199,The Lyme Timber Company,Finite Carbon - Lyme Wyoming IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,"Wyoming, McDowell, Mingo, Logan, and Raleigh Counties in West Virginia and Pike County in Kentucky",WEST VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,5995666.0,View,,
ACR284,CAFR5235,"Massachusetts Audubon Society, Inc.",Finite Carbon - Massachusetts Audubon Society IFM,,Forest Carbon,,Listed - Active ARB Project,"Berkshire, Hampshire, Franklin, Worcester Counties in Commonwealth of Massachusetts",MASSACHUSETTS,US,Clean Water and Sanitation;Climate Action;Life on Land,,853781.0,View,,
ACR416,CAFR5416,Molpus Woodlands Group,Finite Carbon - Meriwether IFM,,Forest Carbon,,Listed - Active ARB Project,International Falls,MINNESOTA,US,Clean Water and Sanitation;Climate Action;Life on Land,,3942011.0,View,,
ACR395,CAFR5395,Molpus Woodlands Group,Finite Carbon - MWF Ned Lake IFM,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Upper Peninsula,MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,,994759.0,View,,
ACR554,,The Lyme Timber Company,Finite Carbon - Opal Mountain Ranch IFM,NSF International Strategic Registrations (NSF-ISR),Forest Carbon,,Listed - Proposed Project,Prineville,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR558,,"Park Forestry NY, LLC",Finite Carbon - Park Forestry IFM,"Aster Global Environmental Solutions, Inc.",Forest Carbon,Listed,Not ARB Eligible,"St. Lawrence, Lewis, Hamilton, and Franklin counties in the state of New York and Caledonia, Windham and Windsor counties in the state of Vermont.",NEW YORK,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,finitecarbon.com,
ACR420,CAFR5420,Sealaska Corporation,Finite Carbon - Sealaska 2 Native Alaskan IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,Southeast Alaska,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,2559626.0,View,,
ACR324,CAFR5294,Sealaska Corporation,Finite Carbon - Sealaska Native Alaskan IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,Southeast Alaska,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,12193704.0,View,,
ACR559,,"Southeastern Cave Conservancy, Inc",Finite Carbon - Southeastern Cave Conservancy IFM,,Forest Carbon,Listed,Not ARB Eligible,"ackson Cnty and Dekalb Cnty, AL; Dade Cnty and Walker Cnty, GA; Marion Cnty, TN",GEORGIA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,https://www.finitecarbon.com/clients/land-trusts/,
ACR256,,Tennessee River Gorge Trust,Finite Carbon - Tennessee River Gorge Trust IFM,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,The Tennessee River Gorge,TENNESSEE,US,Clean Water and Sanitation;Climate Action;Life on Land,,399648.0,View,,
ACR247,CAFR5202,The Forestland Group LLC,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,Owls Head,NEW YORK,US,Clean Water and Sanitation;Climate Action;Life on Land,,801405.0,View,,
ACR199,,The Forestland Group LLC,Finite Carbon - The Forestland Group CT Lakes,"GHD Services, Inc.",Forest Carbon,,Listed - Active ARB Project,Coos County,NEW HAMPSHIRE,US,Clean Water and Sanitation;Climate Action;Life on Land,,1865335.0,View,,
ACR413,,"Beach People, LLC",Finite Carbon - Tyonek Native Alaskan IFM,,Forest Carbon,,Listed - Active Registry Project,Kenai Peninsula Borough,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,1176746.0,View,,
ACR209,,Weyerhaeuser Company,Finite Carbon - Weyerhaeuser Company IFM 1,,Forest Carbon,,Listed - Proposed Project,Mississippi & Alabama,ALABAMA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,www.weyerhaeuser.com,
ACR524,,"Foam Supplies, Inc.",Foam Blowing Agent 001,,Industrial Process Emissions,Canceled,Not ARB Eligible,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,,
ACR525,,"True Manufacturing Co., Inc.",Foam Blowing Agent 001,"First Environment, Inc.",Industrial Process Emissions,Listed,Not ARB Eligible,O'Fallon,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,,
ACR348,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,"Earth City, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,13399.0,View,,
ACR446,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001B,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,63104.0,View,,
ACR447,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001C,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,93458.0,View,,
ACR448,,"Foam Supplies, Inc.",Foam Blowing Agent Project 001D,"First Environment, Inc.",Industrial Process Emissions,Registered,Not ARB Eligible,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,85790.0,View,,
